"age_start","age_end","cases","deaths"
"0","4",54,1
"5","9",29,1
"10","14",27,0
"15","19",73,2
"20","24",324,2
"25","29",621,0
"30","34",703,5
"35","39",471,5
"40","44",461,13
"45","49",515,20
"50","54",534,24
"55","59",561,33
"60","64",596,53
"65","69",511,62
"70","74",379,51
"75","79",194,24
"80","MAX",204,44
