age_start,age_end,cases,deaths
0,9,74,0
10,19,185,0
20,29,1038,4
30,39,1369,5
40,49,1841,14
50,59,2436,53
60,69,1969,121
70,79,1980,367
80,89,2304,627
90,MAX,1179,349
