age_start,age_end,cases,deaths
0,4,27,1
5,9,16,1
10,14,12,0
15,19,48,1
20,24,201,2
25,29,461,1
30,34,511,5
35,39,353,8
40,44,348,10
45,49,400,20
50,54,443,24
55,59,469,32
60,64,515,51
65,69,449,53
70,74,330,45
75,79,165,22
80,MAX,183,39
