age_start,age_end,cases,deaths
0,4,17,1
5,9,5,0
10,14,9,0
15,19,25,1
20,24,84,2
25,29,188,0
30,34,265,4
35,39,195,6
40,44,186,6
45,49,225,18
50,54,276,17
55,59,289,27
60,64,302,31
65,69,253,38
70,74,199,26
75,79,104,17
80,MAX,102,24
