age_start,age_end,cases,deaths
0,9,29,0
10,19,123,0
20,29,360,1
30,39,448,0
40,49,644,1
50,59,922,12
60,69,720,16
70,79,726,62
80,89,679,99
90,MAX,293,48
NA,NA,3,0
