"age_start","age_end","cases","deaths"
0,"9",147,0
10,"19",229,0
20,"29",1059,0
30,"39",1362,0
40,"49",1773,5
50,"59",1762,4
60,"69",1120,16
70,"79",781,43
80,"MAX",1676,194
