age_start,age_end,cases,deaths
0,9,451,2
10,19,768,3
20,29,6996,22
30,39,12904,46
40,49,20201,134
50,59,25239,356
60,69,21848,1067
70,79,20909,3098
80,89,20277,4883
90,MAX,8343,2095
