"age_start","age_end","cases","deaths"
0,"9",284,0
10,"19",435,0
20,"29",1763,0
30,"39",2372,0
40,"49",2932,6
50,"59",2942,17
60,"69",2106,53
70,"79",1565,111
80,"MAX",2535,348
