age_start,age_end,cases,deaths
0,1,9,0
1,5,25,0
6,12,53,0
13,17,90,0
18,29,364,0
30,39,287,1
40,49,353,0
50,59,294,0
60,69,212,2
70,79,60,3
80,89,16,3
90,99,7,0
100,109,1,0
