"age_start","age_end","cases","deaths"
0,"9",288,1
10,"19",593,1
20,"29",5477,11
30,"39",10518,24
40,"49",16451,66
50,"59",20342,206
60,"69",18095,624
70,"79",17297,1848
80,"89",14739,3035
90,"MAX",5346,1290
