age_start,age_end,cases,deaths
0,9,77,0
10,19,295,0
20,29,1002,0
30,39,1100,0
40,49,1244,0
50,59,1331,5
60,69,787,8
70,79,530,26
80,89,323,56
90,MAX,102,41
