"age_start","age_end","cases","deaths"
"0","4",35,1
"5","9",13,0
"10","14",21,0
"15","19",37,1
"20","24",134,2
"25","29",240,0
"30","34",359,4
"35","39",255,4
"40","44",243,8
"45","49",286,18
"50","54",318,16
"55","59",339,28
"60","64",337,33
"65","69",289,43
"70","74",221,29
"75","79",122,17
"80","MAX",112,28
