age_start,age_end,cases,deaths
0,9,118,0
10,19,150,0
20,29,603,0
30,39,1261,7
40,49,2186,16
50,59,3775,63
60,69,4221,252
70,79,4702,837
80,89,3158,835
90,MAX,397,129
