"age_start","age_end","cases","deaths"
0,"9",137,0
10,"19",206,0
20,"29",704,0
30,"39",1010,0
40,"49",1159,1
50,"59",1180,13
60,"69",986,37
70,"79",784,68
80,"MAX",859,154
