age_start,age_end,cases,deaths
0,9,99,0
10,19,142,0
20,29,822,4
30,39,1538,3
40,49,2444,9
50,59,2850,28
60,69,2995,75
70,79,3360,230
80,89,2318,369
90,MAX,548,132
