age_start,age_end,cases,deaths
0,4,67,0
5,9,11,0
10,14,43,0
15,19,253,1
20,24,1164,0
25,29,1520,3
30,34,1489,2
35,39,1303,4
40,44,1464,4
45,49,2153,9
50,54,2816,31
55,59,3134,56
60,64,2596,107
65,69,1906,225
70,74,2404,405
75,79,2682,679
80,84,2824,808
85,89,2740,786
90,94,1568,419
95,MAX,503,144
