age_start,age_end,cases,deaths
0,4,10,0
5,9,11,1
10,14,3,0
15,19,23,0
20,24,117,0
25,29,273,1
30,34,246,1
35,39,158,2
40,44,162,4
45,49,175,2
50,54,167,7
55,59,180,5
60,64,213,20
65,69,196,15
70,74,131,19
75,79,61,5
80,MAX,81,15
