age_start,age_end,cases,deaths
0,9,103,0
10,19,167,0
20,29,1182,0
30,39,1128,0
40,49,1199,2
50,59,1200,6
60,69,809,9
70,79,649,37
80,89,376,36
90,MAX,120,11
