age_start,age_end,cases,deaths
0,9,251,1
10,19,359,1
20,29,2405,15
30,39,4987,23
40,49,8790,86
50,59,11352,246
60,69,11687,752
70,79,11944,2175
80,89,9387,2838
90,MAX,2716,898
