age_start,age_end,cases,deaths
0,9,519,1
10,19,897,0
20,29,4338,2
30,39,6299,13
40,49,11452,45
50,59,15015,150
60,69,9024,504
70,79,10097,1664
80,89,14329,3071
90,MAX,7333,1483
