"age_start","age_end","cases","deaths"
0,"9",145,0
10,"19",289,0
20,"29",1939,8
30,"39",4209,15
40,"49",7340,44
50,"59",9370,145
60,"69",9736,445
70,"79",10060,1318
80,"89",7171,1778
90,"MAX",1871,572
