"age_start","age_end","cases","deaths"
0,"9",54,0
10,"19",257,0
20,"29",1547,0
30,"39",609,0
40,"49",947,0
50,"59",1285,5
60,"69",776,7
70,"79",396,23
80,"MAX",322,56
