"age_start","age_end","cases","deaths"
0,"9",509,0
10,"19",717,0
20,"29",2752,5
30,"39",4612,25
40,"49",8021,114
50,"59",13469,504
60,"69",13784,1532
70,"79",14234,3968
80,"89",10661,4255
90,"MAX",1894,760
