"DATE","REGION","AGEGROUP","SEX","DEATHS"
"2020-04-14","Brussels","65-74","F",1
"2020-04-14","Brussels","75-84","M",5
"2020-04-14","Brussels","75-84","F",4
"2020-04-14","Brussels","85+","M",13
"2020-04-14","Brussels","85+","F",10
"2020-04-14","Brussels",NA,NA,3
"2020-04-14","Wallonia","45-64","M",4
"2020-04-14","Wallonia","45-64","F",3
"2020-04-14","Wallonia","65-74","M",4
"2020-04-14","Wallonia","75-84","M",13
"2020-04-14","Wallonia","75-84","F",11
"2020-04-14","Wallonia","85+","M",10
"2020-04-14","Wallonia","85+","F",30
"2020-04-14","Wallonia",NA,NA,1
"2020-04-15","Flanders","45-64","F",2
"2020-04-15","Flanders","65-74","M",5
"2020-04-15","Flanders","65-74","F",7
"2020-04-15","Flanders","75-84","M",15
"2020-04-15","Flanders","75-84","F",11
"2020-04-15","Flanders","85+","M",13
"2020-04-15","Flanders","85+","F",11
"2020-04-15","Flanders",NA,NA,73
"2020-04-15","Brussels","45-64","M",3
"2020-04-15","Brussels","65-74","M",4
"2020-04-15","Brussels","65-74","F",4
"2020-04-15","Brussels","75-84","M",2
"2020-04-15","Brussels","75-84","F",1
"2020-04-15","Brussels","85+","M",10
"2020-04-15","Brussels","85+","F",16
"2020-04-15","Wallonia","45-64","M",10
"2020-04-15","Wallonia","65-74","M",4
"2020-04-15","Wallonia","65-74","F",5
"2020-04-15","Wallonia","75-84","M",11
"2020-04-15","Wallonia","75-84","F",11
"2020-04-15","Wallonia","85+","M",19
"2020-04-15","Wallonia","85+","F",28
"2020-04-15","Wallonia",NA,NA,1
"2020-04-16","Flanders","45-64","M",3
"2020-04-16","Flanders","65-74","M",2
"2020-04-16","Flanders","65-74","F",3
"2020-04-16","Flanders","75-84","M",12
"2020-04-16","Flanders","75-84","F",7
"2020-04-16","Flanders","85+","M",13
"2020-04-16","Flanders","85+","F",5
"2020-04-16","Flanders",NA,NA,86
"2020-04-16","Brussels","45-64","M",1
"2020-04-16","Brussels","45-64","F",1
"2020-04-16","Brussels","75-84","M",5
"2020-04-16","Brussels","75-84","F",6
"2020-04-16","Brussels","85+","M",7
"2020-04-16","Brussels","85+","F",7
"2020-04-16","Brussels","85+",NA,1
"2020-04-16","Brussels",NA,NA,3
"2020-04-16","Wallonia","45-64","F",2
"2020-04-16","Wallonia","65-74","M",10
"2020-04-16","Wallonia","65-74","F",2
"2020-04-16","Wallonia","75-84","M",13
"2020-04-16","Wallonia","75-84","F",8
"2020-04-16","Wallonia","85+","M",14
"2020-04-16","Wallonia","85+","F",28
"2020-04-16","Wallonia",NA,NA,1
"2020-04-17","Flanders","45-64","M",1
"2020-04-17","Flanders","65-74","M",4
"2020-04-17","Flanders","65-74","F",4
"2020-04-17","Flanders","75-84","M",5
"2020-04-17","Flanders","75-84","F",7
"2020-04-17","Flanders","85+","M",6
"2020-04-17","Flanders","85+","F",10
"2020-04-17","Flanders",NA,NA,58
"2020-04-17","Brussels","45-64","M",1
"2020-04-17","Brussels","45-64","F",2
"2020-04-17","Brussels","65-74","M",6
"2020-04-17","Brussels","65-74","F",1
"2020-04-17","Brussels","75-84","M",2
"2020-04-17","Brussels","75-84","F",2
"2020-04-17","Brussels","85+","M",3
"2020-04-17","Brussels","85+","F",19
"2020-04-17","Brussels",NA,NA,1
"2020-04-17","Wallonia","45-64","M",2
"2020-04-17","Wallonia","45-64","F",1
"2020-04-17","Wallonia","65-74","M",8
"2020-04-17","Wallonia","65-74","F",3
"2020-04-17","Wallonia","75-84","M",2
"2020-04-17","Wallonia","75-84","F",4
"2020-04-17","Wallonia","85+","M",12
"2020-04-17","Wallonia","85+","F",25
"2020-04-17","Wallonia",NA,NA,2
"2020-04-18","Flanders","45-64","M",2
"2020-04-18","Flanders","65-74","M",3
"2020-04-18","Flanders","65-74","F",3
"2020-04-18","Flanders","75-84","M",6
"2020-04-18","Flanders","75-84","F",4
"2020-04-18","Flanders","85+","M",2
"2020-04-18","Flanders","85+","F",3
"2020-04-18","Brussels","45-64","M",1
"2020-04-18","Brussels","45-64","F",1
"2020-04-18","Brussels","65-74","M",1
"2020-04-18","Brussels","65-74","F",1
"2020-04-18","Brussels","75-84","M",3
"2020-04-18","Brussels","75-84","F",2
"2020-04-18","Brussels","85+","M",3
"2020-04-18","Brussels","85+","F",6
"2020-04-18","Wallonia","25-44","M",1
"2020-04-18","Wallonia","45-64","F",2
"2020-04-18","Wallonia","65-74","M",6
"2020-04-18","Wallonia","65-74","F",5
"2020-04-18","Wallonia","75-84","M",7
"2020-04-18","Wallonia","75-84","F",7
"2020-04-18","Wallonia","85+","M",12
"2020-04-18","Wallonia","85+","F",16
"2020-04-18","Wallonia",NA,NA,1
"2020-04-19","Flanders","45-64","M",1
"2020-04-19","Flanders","65-74","F",1
"2020-04-19","Flanders","75-84","M",1
"2020-04-19","Flanders","75-84","F",1
"2020-04-19","Flanders","85+","M",2
"2020-04-19","Brussels","75-84","M",1
"2020-04-19","Wallonia","65-74","M",2
"2020-04-19","Wallonia","75-84","M",1
"2020-04-19","Wallonia","75-84","F",2
"2020-04-19","Wallonia","85+","M",3
"2020-04-19","Wallonia","85+","F",6
"2020-04-19","Wallonia",NA,NA,1
