"age_start","age_end","cases","deaths"
0,"9",142,1
10,"19",304,1
20,"29",3531,3
30,"39",6307,9
40,"49",9107,22
50,"59",10963,61
60,"69",8354,179
70,"79",7230,530
80,"89",7566,1257
90,"MAX",3472,718
