age_start,age_end,cases,deaths
0,9,82,0
10,19,170,1
20,29,1186,0
30,39,2037,4
40,49,2798,10
50,59,3178,7
60,69,2636,44
70,79,2258,89
80,89,1949,239
90,MAX,830,123
