"age_start","age_end","cases","deaths"
0,"4",53,0
5,"9",9,0
10,"14",39,0
15,"19",137,0
20,"24",623,0
25,"29",945,2
30,"34",959,2
35,"39",835,2
40,"44",965,2
45,"49",1441,7
50,"54",1889,19
55,"59",2126,37
60,"64",1847,71
65,"69",1560,160
70,"74",2017,269
75,"79",2170,477
80,"84",2142,589
85,"89",1927,541
90,"94",1057,258
95,"MAX",321,73
