"age_start","age_end","cases","deaths"
0,"9",425,1
10,"19",712,0
20,"29",3576,2
30,"39",5316,11
40,"49",9676,39
50,"59",12864,133
60,"69",7908,423
70,"79",8666,1393
80,"89",10935,2450
90,"MAX",4941,1022
